MakeValue|ModelValue|ModelGroup|Model_Description|MotorType|SumInsured|ClaimTypeValue|CC|Seat|Weight|AgeDriver|AgeCar|AgeCarMax|BasePremium|MainPremium|EndorsePremium01|EndorsePremium02|EndorsePremium03|DriverDiscountRate|DriverDiscount|GroupDiscountRate|GroupDiscountAmt|HistoryDiscountRate|HistoryDiscountAmt|OtherDiscountRate|OtherDiscountAmt|PlusPremium1|PlusPremium2|NetPremium|Stamp|VAT|TotalPremium|DeductAmt|FIRE&THEFT|TPPI_P|TPPI_C|TPPD|Bail Bond|PA_Driver|PA_Passengers|MED|CommissionRate|PromotionDiscountRate|PromotionDiscountAmt|PromotionEffectiveDate|PromotionExpiryDate|CarGroup|ProductType
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LT 6sp 4WD 2.8|110|990000|02|2800|7|||1|5||||||||||||||||23271.00|94.00|1635.55|25000.00||990000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LTZ 6sp RWD 2.8|110|1080000|02|2800|7|||1|5||||||||||||||||24667.00|99.00|1733.62|26500.00||1080000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LTZ 6sp 4WD 2.8|110|1090000|02|2800|7|||1|5||||||||||||||||24667.00|99.00|1733.62|26500.00||1090000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LTZ1 6sp 4WD 2.8|110|1170000|02|2800|7|||1|5||||||||||||||||26063.00|105.00|1831.76|28000.00||1170000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Honda|BR-V|BR-V|Wagon 4dr V CVT 1.5|110|600000|02|1500|7|||1|5||||||||||||||||17686.00|71.00|1242.99|19000.00||600000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Honda|BR-V|BR-V|Wagon 4dr SV CVT 1.5|110|650000|02|1500|7|||1|5||||||||||||||||19082.00|77.00|1341.13|20500.00||650000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Honda|Civic|Civic|Sedan 4dr E CVT FWD 1.8|110|690000|02|1800|7|||1|5||||||||||||||||19082.00|77.00|1341.13|20500.00||690000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Honda|Civic|Civic|Sedan 4dr EL CVT FWD 1.8|110|760000|02|1800|7|||1|5||||||||||||||||20478.00|82.00|1439.20|22000.00||760000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Honda|Civic|Civic|Sedan 4dr Turbo CVT FWD 1.5|110|870000|02|1500|7|||1|5||||||||||||||||21875.00|88.00|1537.41|23500.00||870000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Honda|Civic|Civic|Sedan 4dr Turbo RS CVT FWD 1.5|110|950000|02|1500|7|||1|5||||||||||||||||23271.00|94.00|1635.55|25000.00||950000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Honda|Accord|Accord|Sedan 4dr E 5sp FWD 2.0|110|1100000|02|2000|7|||1|5||||||||||||||||24667.00|99.00|1733.62|26500.00||1100000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
